,Output,Time,Total,Solar,Nuclear,Wind,Hydroelect,Gas/oil,Biofuel,Neighbor,Diff.,Green,Bought,Sold,CO2 made,Selling Price,Cost to Make,Diff.,END
0,2,11:00,19991.0,102.0,11620.6461281868,2950.0,4200.0,825.3538718132004,25.0,268.0,0.0,7277.0,268.0,0,1632720478.7705505,1299415.0,790203.9367167024,509211.0632832976,-1
1,2,12:00,19999.0,97.0,11504.439666904931,3085.0,4100.0,846.5603330950689,25.0,341.0,0.0,7307.0,341.0,0,1649317343.982845,1299935.0,782301.8973495353,517633.10265046475,-1
2,2,13:00,19865.0,93.0,11435.3271956731,3164.0,4000.0,1034.6728043268995,25.0,113.0,0.0,7282.0,113.0,0,1637356441.9115367,1291225.0,777602.2493057708,513622.75069422915,-1
3,2,14:00,19838.0,80.0,11549.680467629832,3167.0,4000.0,811.3195323701675,25.0,205.0,0.0,7272.0,205.0,0,1622729006.330652,1289470.0,785378.2717988286,504091.7282011714,-1
4,2,15:00,19843.0,58.0,11665.177272306131,3024.0,4000.0,832.8227276938687,40.0,223.0,0.0,7122.0,223.0,0,1608837236.3939588,1289795.0,793232.054516817,496562.945483183,-1
5,2,16:00,20105.0,48.0,11781.829045029193,3065.0,4100.0,810.1709549708066,90.0,210.0,0.0,7303.0,210.0,0,1624411308.7578979,1306825.0,801164.3750619851,505660.6249380149,-1
6,2,17:00,20758.0,21.0,11898.604503478451,3415.0,4300.0,717.3954965215489,90.0,316.0,0.0,7826.0,316.0,0,1681286475.7495515,1349270.0,809105.1062365347,540164.8937634653,-1
7,2,18:00,21636.0,0.0,11967.583495213592,3678.0,4900.0,617.416504786408,90.0,383.0,0.0,8668.0,383.0,0,1741777988.3446214,1406340.0,813795.6776745243,592544.3223254757,-1
8,2,19:00,21883.0,0.0,11942.055836854917,3773.0,5000.0,674.9441631450827,90.0,403.0,0.0,8863.0,403.0,0,1769630979.746446,1422395.0,812059.7969061343,610335.2030938657,-1
9,2,20:00,21660.0,0.0,11822.635278486368,3693.0,5000.0,689.3647215136316,90.0,365.0,0.0,8783.0,365.0,0,1746809259.9489815,1407900.0,803939.198937073,603960.801062927,-1
10,2,21:00,21369.0,0.0,11704.408925701504,3673.0,4800.0,693.5910742984961,70.0,428.0,0.0,8543.0,428.0,0,1732761557.3494918,1388985.0,795899.8069477023,593085.1930522977,-1
11,2,22:00,20689.0,0.0,11587.364836444489,3419.0,4500.0,303.6351635555111,70.0,809.0,0.0,7989.0,809.0,0,1680286731.775997,1344785.0,787940.8088782253,556844.1911217747,-1
12,2,23:00,19429.0,0.0,11471.491188080045,3224.0,4000.0,354.5088119199554,100.0,279.0,0.0,7324.0,279.0,0,1544224634.4582367,1262885.0,780061.400789443,482823.59921055695,-1
13,2,0:00,18603.0,0.0,11356.776276199244,3035.0,3300.0,400.2237238007565,120.0,391.0,0.0,6455.0,391.0,0,1498327108.1136544,1209195.0,772260.7867815485,436934.2132184515,-1
14,2,1:00,18234.0,0.0,11243.20851343725,2786.0,3300.0,527.7914865627499,80.0,297.0,0.0,6166.0,297.0,0,1455066987.032518,1185210.0,764538.178913733,420671.821086267,-1
15,2,2:00,18015.0,0.0,11130.776428302877,2171.0,3600.0,665.2235716971227,70.0,378.0,0.0,5841.0,378.0,0,1413617097.1621928,1170975.0,756892.7971245956,414082.2028754044,-1
16,2,3:00,17911.0,0.0,11019.468664019849,1642.0,3900.0,867.5313359801512,120.0,362.0,0.0,5662.0,362.0,0,1385104256.190571,1164215.0,749323.8691533497,414891.13084665034,-1
17,2,4:00,17743.0,0.0,11129.663350660046,1400.0,3900.0,809.3366493399535,125.0,379.0,0.0,5425.0,379.0,0,1355639238.7524767,1153295.0,756817.1078448831,396477.8921551169,-1
18,2,5:00,17867.0,0.0,11240.959984166648,1006.0,3700.0,822.0400158333523,75.0,1023.0,0.0,4781.0,1023.0,0,1397673881.1400015,1161355.0,764385.278923332,396969.721076668,-1
19,2,6:00,18361.0,0.0,11353.369584008315,972.0,4200.0,910.6304159916854,75.0,850.0,0.0,5247.0,850.0,0,1414018389.9514015,1193465.0,772029.1317125654,421435.86828743457,-1
20,2,7:00,19197.0,1.0,11466.903279848399,604.0,4500.0,1332.0967201516014,75.0,1218.0,0.0,5180.0,1218.0,0,1508260963.8509154,1804518.0,779749.4230296911,1024768.5769703089,-1
21,2,8:00,20593.0,2.0,11581.572312646882,450.0,5600.0,1899.427687353118,185.0,875.0,0.0,6237.0,875.0,0,1597713793.4894242,1935742.0,787546.917259988,1148195.082740012,-1
22,2,9:00,20897.0,28.0,11648.84291930004,419.0,5300.0,2117.1570806999607,195.0,1189.0,0.0,5942.0,1189.0,0,1675603309.8103971,1964318.0,792121.3185124027,1172196.6814875973,-1
23,2,10:00,20531.0,114.0,11532.354490107038,367.0,5000.0,1794.6455098929619,120.0,1603.0,0.0,5601.0,1603.0,0,1696295476.7122931,1334515.0,784200.1053272786,550314.8946727214,-1
